time,ax,ay,az,wx,wy,wz
0.0,-0.1,0.02,-0.17,0.06,-0.01,-0.06
0.2,-0.05,-0.11,0.08,-0.03,0.01,-0.01
0.4,-0.04,-0.03,-0.09,-0.04,-0.03,-0.02
0.6,-0.01,0.01,0.01,-0.0,0.01,-0.0
0.8,-0.03,-0.04,-0.06,-0.0,-0.01,-0.0
1.0,-0.05,0.02,-0.06,-0.01,-0.02,-0.01
1.2,0.04,0.03,0.04,0.0,0.01,-0.01
1.39,-0.05,-0.04,-0.06,-0.01,-0.01,0.01
1.59,0.01,-0.02,-0.05,-0.01,-0.01,0.01
1.79,-0.05,-0.02,-0.12,0.02,0.01,-0.0
1.99,0.04,-0.0,-0.0,0.02,-0.02,-0.01
2.19,-0.1,0.07,-0.03,0.01,-0.01,0.01
2.39,0.0,-0.02,-0.04,0.0,-0.01,0.0
2.59,0.03,-0.07,0.0,0.02,0.02,-0.01
2.79,0.01,-0.01,-0.02,0.01,0.01,0.0
2.98,0.02,-0.01,-0.09,0.03,0.01,-0.01
3.18,-0.07,0.01,0.08,0.02,0.01,0.0
3.38,0.04,-0.03,0.0,0.02,-0.01,-0.01
3.58,-0.08,-0.06,-0.08,0.01,0.0,-0.0
3.78,-0.02,-0.0,-0.02,0.02,-0.0,-0.01
3.98,-0.02,-0.01,0.04,0.02,0.0,-0.01
