time,ax,ay,az,wx,wy,wz
0.0,-0.31,-0.09,-0.07,-0.07,0.01,-0.02
0.2,0.02,-0.05,0.04,-0.01,0.02,0.01
0.4,0.01,0.05,-0.08,-0.01,-0.01,0.03
0.6,-0.01,-0.05,-0.01,0.02,-0.01,-0.02
0.8,0.04,-0.1,-0.08,0.01,-0.03,-0.0
1.0,-0.02,0.0,0.06,-0.01,0.01,0.02
1.2,-0.1,0.03,-0.08,0.03,-0.01,-0.02
1.39,0.02,-0.01,0.0,0.01,0.0,0.0
1.59,0.01,0.03,-0.04,0.04,-0.02,-0.02
1.79,-0.04,-0.01,0.06,0.01,-0.01,0.0
1.99,-0.06,0.02,0.02,0.01,0.01,0.01
2.19,-0.02,-0.07,0.03,0.02,0.01,0.0
2.39,-0.03,0.08,-0.1,0.05,-0.02,-0.02
2.59,-0.04,-0.02,-0.03,0.04,-0.01,-0.02
2.79,-0.05,0.0,0.01,0.06,-0.03,-0.03
2.98,-0.03,0.0,-0.02,0.07,-0.02,-0.02
3.18,-0.02,-0.02,-0.04,0.08,-0.03,-0.03
3.38,0.07,0.03,0.03,0.08,-0.03,-0.03
3.58,-0.06,-0.01,-0.02,0.08,-0.03,-0.03
3.78,0.02,0.03,-0.05,0.1,-0.04,-0.03
3.98,-0.06,0.06,-0.09,0.11,-0.03,-0.04
4.18,-0.02,-0.02,-0.03,0.12,-0.04,-0.04
4.38,-0.04,-0.06,-0.01,0.13,-0.04,-0.04
4.58,-0.01,0.03,-0.03,0.13,-0.04,-0.04
4.78,-0.01,0.02,-0.03,0.13,-0.04,-0.04
4.97,-0.04,-0.02,0.0,0.14,-0.04,-0.04
5.17,-0.02,0.01,-0.03,0.14,-0.04,-0.04
5.37,-0.02,0.03,-0.04,0.14,-0.04,-0.04
5.57,-0.02,0.0,-0.02,0.14,-0.04,-0.04
5.77,-0.01,0.02,-0.03,0.14,-0.04,-0.04
5.97,-0.02,0.0,-0.01,0.14,-0.04,-0.04
6.17,-0.01,0.01,-0.02,0.14,-0.04,-0.04
6.37,-0.02,0.01,-0.02,0.14,-0.04,-0.04
6.57,-0.01,0.0,-0.02,0.14,-0.04,-0.04
6.76,-0.01,0.01,-0.02,0.14,-0.04,-0.04
6.96,-0.01,0.01,-0.02,0.14,-0.04,-0.04
7.16,-0.02,0.0,-0.02,0.14,-0.04,-0.04
7.36,-0.01,0.01,-0.02,0.14,-0.04,-0.04
7.56,-0.01,0.01,-0.02,0.14,-0.04,-0.04
7.76,-0.02,0.0,-0.02,0.14,-0.04,-0.04
7.96,-0.01,0.01,-0.02,0.14,-0.04,-0.04
8.16,-0.01,0.01,-0.02,0.14,-0.04,-0.04
8.36,-0.02,0.01,-0.02,0.14,-0.04,-0.04
8.55,-0.01,0.0,-0.02,0.14,-0.04,-0.04
8.75,-0.02,0.01,-0.02,0.14,-0.04,-0.04
8.95,-0.02,0.0,-0.02,0.14,-0.04,-0.04
9.15,-0.01,0.01,-0.02,0.14,-0.04,-0.04
9.35,-0.01,0.01,-0.02,0.14,-0.04,-0.04
9.55,-0.02,0.0,-0.02,0.14,-0.04,-0.04
9.75,-0.01,0.01,-0.02,0.14,-0.04,-0.04
9.95,-0.01,0.01,-0.02,0.14,-0.04,-0.04
10.15,-0.02,0.0,-0.02,0.14,-0.04,-0.04
10.34,-0.01,0.01,-0.02,0.14,-0.04,-0.04
10.54,-0.02,0.01,-0.02,0.14,-0.04,-0.04
10.74,-0.02,0.0,-0.02,0.14,-0.04,-0.04
10.94,-0.01,0.01,-0.02,0.14,-0.04,-0.04
11.14,-0.01,0.01,-0.02,0.14,-0.04,-0.04
11.34,-0.02,0.0,-0.02,0.14,-0.04,-0.04
11.54,-0.01,0.01,-0.02,0.14,-0.04,-0.04
11.74,-0.01,0.01,-0.02,0.14,-0.04,-0.04
11.94,-0.02,0.0,-0.02,0.14,-0.04,-0.04
12.13,-0.01,0.01,-0.02,0.14,-0.04,-0.04
12.33,-0.02,0.01,-0.02,0.14,-0.04,-0.04
12.53,-0.02,0.0,-0.02,0.14,-0.04,-0.04
12.73,-0.01,0.01,-0.02,0.14,-0.04,-0.04
12.93,-0.01,0.01,-0.02,0.14,-0.04,-0.04
13.13,-0.02,0.0,-0.02,0.14,-0.04,-0.04
13.33,-0.01,0.01,-0.02,0.14,-0.04,-0.04
13.53,-0.01,0.01,-0.02,0.14,-0.04,-0.04
13.73,-0.02,0.0,-0.02,0.14,-0.04,-0.04
13.92,-0.01,0.01,-0.02,0.14,-0.04,-0.04
