time,ax,ay,az,wx,wy,wz
0.0,0.08,0.26,-0.08,0.01,-0.05,-0.07
0.2,-0.01,-0.12,-0.27,0.01,-0.02,0.0
0.4,-0.01,0.12,0.01,-0.01,0.02,0.03
0.6,-0.14,-0.02,-0.11,0.04,0.0,-0.02
0.8,-0.08,-0.08,-0.27,0.04,-0.03,-0.01
1.0,-0.06,0.1,-0.16,0.03,0.01,-0.01
1.2,0.03,0.07,-0.15,0.02,0.01,-0.02
1.39,-0.12,-0.02,-0.29,0.01,-0.01,0.01
1.59,0.05,0.02,-0.24,0.02,0.01,-0.01
1.79,-0.13,0.07,-0.31,0.01,0.02,-0.03
1.99,0.06,-0.11,-0.08,0.03,-0.02,0.01
2.19,-0.1,0.07,0.2,0.04,-0.01,0.01
2.39,0.01,0.04,-0.11,0.03,-0.03,0.02
2.59,-0.01,0.04,-0.06,0.03,-0.04,0.01
2.78,-0.03,-0.02,-0.03,0.02,-0.01,0.01
2.98,0.04,-0.07,-0.06,0.01,0.0,0.02
3.18,0.05,0.08,0.08,0.02,-0.01,0.01
3.38,0.0,-0.05,-0.08,0.04,-0.01,-0.0
3.58,-0.02,-0.08,-0.23,0.02,-0.01,0.03
3.78,-0.07,0.09,-0.27,0.02,-0.01,-0.02
3.98,-0.13,-0.01,-0.04,0.01,-0.01,0.01
4.18,-0.05,-0.03,-0.18,0.02,0.01,-0.01
4.37,-0.06,-0.04,-0.1,0.01,0.0,0.01
4.57,0.03,-0.06,-0.23,0.02,0.01,0.01
4.77,-0.13,0.09,-0.08,0.01,0.01,-0.0
4.97,-0.03,0.09,0.13,0.03,0.06,-0.01
5.17,-0.07,0.07,-0.2,0.09,-0.02,0.01
5.37,0.12,0.14,0.08,0.09,0.01,-0.01
5.57,-0.06,-0.01,-0.11,0.05,-0.0,-0.01
5.77,-0.04,-0.11,-0.13,0.03,0.01,-0.02
5.96,-0.16,0.01,-0.17,0.01,0.01,0.01
6.16,0.1,0.09,0.04,0.01,0.02,0.02
6.36,0.06,-0.04,-0.16,0.02,0.02,0.0
6.56,0.0,0.02,-0.04,0.01,0.01,0.01
6.76,0.03,-0.12,-0.14,0.01,0.01,0.01
6.96,0.01,0.02,-0.04,-0.0,-0.0,0.02
7.16,-0.03,0.02,-0.09,0.01,-0.0,0.0
7.35,-0.07,-0.09,-0.12,0.0,-0.0,-0.0
7.55,-0.12,0.02,-0.04,0.01,-0.01,0.01
