time,ax,ay,az,wx,wy,wz
0.0,0.19,-0.27,0.53,0.1,-0.12,0.02
0.1,-0.29,-0.14,-0.61,0.11,-0.05,0.07
0.2,0.38,-0.21,0.25,0.09,-0.19,-0.06
0.3,-0.06,-0.3,0.03,0.04,0.01,-0.02
0.4,0.2,0.06,-0.28,0.08,-0.04,0.0
0.5,-0.02,-0.13,-0.32,0.09,0.01,0.03
0.6,-0.03,-0.23,0.17,0.09,-0.0,0.04
0.7,-0.12,0.03,-0.02,0.09,-0.06,0.02
0.79,-0.03,0.02,0.21,0.04,-0.04,-0.01
0.89,0.02,-0.08,-0.1,0.04,-0.01,-0.01
0.99,-0.06,-0.16,-0.12,0.04,-0.01,0.02
1.09,-0.09,-0.06,-0.1,0.02,0.0,0.01
1.19,0.01,-0.01,0.03,0.01,-0.01,0.0
1.29,-0.02,-0.09,-0.06,0.01,-0.01,0.01
1.39,-0.05,-0.07,-0.06,0.01,-0.0,0.01
1.49,-0.05,-0.05,-0.07,0.01,-0.0,0.01
1.59,-0.02,-0.08,0.04,0.01,-0.01,0.0
1.69,-0.04,-0.11,-0.05,0.01,-0.0,0.01
1.79,-0.04,-0.03,-0.04,0.01,-0.0,0.0
1.89,-0.02,-0.01,-0.02,0.01,-0.0,0.0
1.99,-0.02,-0.05,0.01,0.01,-0.0,-0.0
