time,ax,ay,az,wx,wy,wz
0.0,0.05,0.38,-0.06,-0.05,0.07,-0.08
0.1,0.15,0.18,-0.39,-0.03,0.05,-0.05
0.2,-0.03,-0.05,-0.11,-0.04,-0.1,-0.03
0.3,-0.08,-0.05,-0.28,-0.06,-0.08,-0.02
0.4,-0.12,0.01,-0.16,-0.07,-0.02,-0.06
0.5,-0.02,0.13,-0.25,-0.04,-0.03,-0.05
0.6,-0.03,0.04,-0.23,-0.02,-0.0,-0.05
0.7,-0.03,-0.11,0.03,-0.0,-0.04,-0.03
0.8,-0.01,-0.09,0.21,-0.02,-0.05,0.01
0.89,0.01,-0.16,0.14,-0.02,-0.02,0.01
0.99,-0.05,0.03,-0.26,-0.02,0.01,-0.01
1.09,-0.01,-0.1,-0.03,-0.01,-0.01,-0.01
1.19,-0.02,-0.08,-0.01,-0.02,-0.01,-0.0
1.29,0.02,-0.13,0.0,-0.01,-0.02,0.01
1.39,0.03,-0.1,0.03,-0.01,-0.01,0.01
1.49,0.01,-0.08,-0.03,-0.01,-0.01,0.0
1.59,-0.03,-0.05,-0.13,-0.02,-0.01,-0.0
1.69,-0.05,0.03,-0.13,-0.02,-0.0,-0.01
1.79,-0.05,0.03,-0.12,-0.01,-0.01,-0.01
1.89,-0.05,0.01,-0.09,-0.01,-0.0,-0.01
1.99,0.0,0.01,-0.04,-0.01,-0.01,-0.0
2.09,-0.02,-0.04,-0.01,-0.01,-0.02,-0.0
2.19,-0.04,0.04,-0.05,-0.01,-0.02,-0.01
2.28,-0.02,0.04,-0.08,-0.01,-0.01,-0.01
2.38,-0.03,0.02,-0.05,-0.01,-0.01,-0.01
2.48,-0.03,-0.06,-0.05,-0.01,-0.01,-0.0
2.58,-0.01,-0.03,-0.06,-0.01,-0.01,-0.0
2.68,-0.01,-0.02,-0.06,-0.01,-0.02,-0.0
2.78,-0.03,-0.03,-0.07,-0.01,-0.01,-0.01
2.88,-0.03,-0.02,-0.07,-0.01,-0.01,-0.01
2.98,-0.03,-0.02,-0.07,-0.01,-0.01,-0.01
3.08,-0.03,-0.02,-0.07,-0.01,-0.01,-0.01
3.18,-0.03,-0.02,-0.07,-0.01,-0.01,-0.01
3.28,-0.03,-0.02,-0.07,-0.01,-0.01,-0.01
3.38,-0.03,-0.02,-0.07,-0.01,-0.01,-0.01
3.48,-0.03,-0.02,-0.07,-0.01,-0.01,-0.01
3.58,-0.03,-0.02,-0.07,-0.01,-0.01,-0.01
3.68,-0.03,-0.02,-0.07,-0.01,-0.01,-0.01
3.78,-0.03,-0.02,-0.07,-0.01,-0.01,-0.01
3.87,-0.03,-0.02,-0.07,-0.01,-0.01,-0.01
3.97,-0.03,-0.02,-0.07,-0.01,-0.01,-0.01
4.07,-0.03,-0.02,-0.07,-0.01,-0.01,-0.01
4.17,-0.03,-0.02,-0.07,-0.01,-0.01,-0.01
4.27,-0.03,-0.02,-0.07,-0.01,-0.01,-0.01
4.37,-0.03,-0.02,-0.07,-0.01,-0.01,-0.01
4.47,-0.03,-0.02,-0.07,-0.01,-0.01,-0.01
4.57,-0.03,-0.02,-0.07,-0.01,-0.01,-0.01
4.67,-0.03,-0.02,-0.07,-0.01,-0.01,-0.01
4.77,-0.03,-0.02,-0.07,-0.01,-0.01,-0.01
4.87,-0.03,-0.02,-0.07,-0.01,-0.01,-0.01
4.97,-0.03,-0.02,-0.07,-0.01,-0.01,-0.01
5.07,-0.03,-0.02,-0.07,-0.01,-0.01,-0.01
5.17,-0.03,-0.02,-0.07,-0.01,-0.01,-0.01
5.27,-0.03,-0.02,-0.07,-0.01,-0.01,-0.01
5.36,-0.03,-0.02,-0.07,-0.01,-0.01,-0.01
5.46,-0.03,-0.02,-0.07,-0.01,-0.01,-0.01
5.56,-0.03,-0.02,-0.07,-0.01,-0.01,-0.01
5.66,-0.03,-0.02,-0.07,-0.01,-0.01,-0.01
5.76,-0.03,-0.02,-0.07,-0.01,-0.01,-0.01
5.86,-0.03,-0.02,-0.07,-0.01,-0.01,-0.01
5.96,-0.03,-0.02,-0.07,-0.01,-0.01,-0.01
6.06,-0.03,-0.02,-0.07,-0.01,-0.01,-0.01
6.16,-0.03,-0.02,-0.07,-0.01,-0.01,-0.01
6.26,-0.03,-0.02,-0.07,-0.01,-0.01,-0.01
6.36,-0.03,-0.02,-0.07,-0.01,-0.01,-0.01
6.46,-0.03,-0.02,-0.07,-0.01,-0.01,-0.01
6.56,-0.03,-0.02,-0.07,-0.01,-0.01,-0.01
6.66,-0.03,-0.02,-0.07,-0.01,-0.01,-0.01
6.76,-0.03,-0.02,-0.07,-0.01,-0.01,-0.01
6.86,-0.03,-0.02,-0.07,-0.01,-0.01,-0.01
6.96,-0.03,-0.02,-0.07,-0.01,-0.01,-0.01
